OBJECTID,STUD_AR_ID,STUD_AR_NM,STUD_AR_LBL,TOOLKIT_ID,Acres,AC_PER_1K,RepPrkAc,NEED_DESCP,PCT_Walk,aggregationMethod,HasData,ORIGINAL_OID,sourceCountry,populationtotals_totpop_cy,householdtotals_avghhsz_cy,householdincome_medhinc_cy,educationalattainment_nohs_cy,educationalattainment_somehs_cy,educationalattainment_hsgrad_cy,educationalattainment_ged_cy,educationalattainment_smcoll_cy,educationalattainment_asscdeg_c,educationalattainment_bachdeg_c,educationalattainment_graddeg_c,educationalattainment_educbasec,sports_mp33003a_b_i,sports_mp33004a_b_i,sports_mp33005a_b_i,sports_mp33012a_b_i,sports_mp33014a_b_i,sports_mp33015a_b_i,sports_mp33016a_b_i,sports_mp33020a_b_i,sports_mp33024a_b_i,sports_mp33025a_b_i,sports_mp33026a_b_i,sports_mp33028a_b_i,sports_mp33029a_b_i,sports_mp33030a_b_i,F5yearincrements_pop0_cy,F5yearincrements_pop5_cy,F5yearincrements_pop10_cy,F5yearincrements_pop15_cy,F5yearincrements_pop20_cy,F5yearincrements_pop25_cy,F5yearincrements_pop30_cy,F5yearincrements_pop35_cy,F5yearincrements_pop40_cy,F5yearincrements_pop45_cy,F5yearincrements_pop50_cy,F5yearincrements_pop55_cy,F5yearincrements_pop60_cy,F5yearincrements_pop65_cy,F5yearincrements_pop70_cy,F5yearincrements_pop75_cy,F5yearincrements_pop80_cy,F5yearincrements_pop85_cy,F5yearincrements_pop18up_cy,F1yearincrements_age18_cy,F1yearincrements_age19_cy,MEAN_Asthma,MEAN_Low_Birth_Weight,MEAN_Cardiovascular,aggregationMethod_1,HasData_1,ORIGINAL_OID_1,sourceCountry_1,raceandhispanicorigin_hisppop_c,raceandhispanicorigin_nonhisp_c,raceandhispanicorigin_nhspwht_c,raceandhispanicorigin_nhspblk_c,raceandhispanicorigin_nhspai_cy,raceandhispanicorigin_nhspasn_c,raceandhispanicorigin_nhsppi_cy,raceandhispanicorigin_nhspoth_c,raceandhispanicorigin_nhspmlt_c,Age0_17Pct,Age18_34Pct,Age35_54Pct,Age55_69Pct,Age70upPct,HispanicPct,WhitePct,Black_Pct,Asian_Pct,Am_Indian,Pac_Island,Other_Race,Multi_Race,No_HS,HS_Grad,Some_College,College,unemprt_cy,SHAPE_Length,SHAPE_Area
111,180,City of Glendale - Northside,City of Glendale - North,180,16730.86020352,2.2,238.03,Low,45,,,,,106620,2.67,87712,4676,2797,13023,773,13759,7512,23076,14718,80334,101,113,111,86,101,135,102,127,132,89,113,134,81,130,4531,5065,5937,5548,5204,6326,6881,7888,6957,7146,7817,8417,7718,6570,5158,3776,2779,2902,87658,1071,1048,22.99401133,4.20877534,6.57599413,BlockApportionment:US.BlockGroups,1,111,US,14847,91773,66148,1088,98,19769,53,206,4411,17.78465579,19.25529919,27.95723129,21.29525417,13.70755956,13.92515476,62.04089289,1.02044645,18.54154943,0.09191521,0.04970925,0.19320953,4.13712249,9,17,26,47,14.5,172402.339443412,-728793355.283326
112,173,City of Pasadena - Westside,City of Pasadena - West,173,9454.47529778,6.106014,507.251,Moderate,58.31159283,,,,,82762,2.32,90744,3705,2370,7176,504,8777,4051,16592,17129,60304,117,117,119,103,97,127,98,138,156,112,105,159,117,103,4235,4004,4131,4250,5839,7673,7019,6427,5420,5188,4939,5028,4674,3999,3494,2623,1684,2137,68047,911,994,30.90650882,4.52018423,4.95998715,BlockApportionment:US.BlockGroups,1,112,US,27761,55002,28786,9218,115,13999,48,226,2609,17.77989899,27.10905971,26.55083251,16.55469902,12.00792634,33.54317199,34.78166308,11.13796187,16.91476765,0.13895266,0.05799763,0.27307218,3.15241294,10,13,21,56,14.2,210505.98140945,-411835296.625121
113,155,City of Pomona - Northside,City of Pomona - North,155,7594.95318138,16.445581,1382.136,Moderate,54.50581709,,,,,82138,3.6,59624,7772,5804,11524,1268,10750,3722,6900,3000,50740,119,82,79,86,46,78,56,84,124,82,69,71,99,71,6197,6144,5991,6075,6990,7295,6631,5518,4939,4764,4632,4379,3858,3004,2220,1428,946,1128,60368,1316,1322,65.57413892,5.07868445,8.09858184,BlockApportionment:US.BlockGroups,1,113,US,57989,24148,10692,6008,162,5666,118,139,1364,26.5041759,28.67613041,24.17029877,13.68550488,6.96632497,70.59947893,13.01711753,7.31451947,6.89814702,0.19722905,0.14366067,0.1692274,1.66061993,27,25,29,20,18,131113.614707573,-330834837.237551
114,181,City of Torrance - South,City of Torrance - South,181,7064.54802905,2.404592,195.628,Low,76.95351694,,,,,81816,2.57,102565,1131,1283,7996,569,10372,5294,20976,12560,60181,101,105,98,75,91,138,99,134,110,86,108,157,85,126,3725,4087,4648,4815,4361,4982,4494,4929,4876,5646,6327,6865,6068,4798,3859,2883,2029,2425,66315,950,824,31.98873615,4.38807534,6.16095614,BlockApportionment:US.BlockGroups,1,114,US,12180,69636,35155,1453,149,28890,230,211,3548,18.9461719,19.08061993,26.61826538,21.67180014,13.68436492,14.88706366,42.96836805,1.77593625,35.31094163,0.18211597,0.28111861,0.25789577,4.33656009,4,14,26,56,13.7,98905.1619101112,-307730481.219964
115,097,City of Long Beach Central,City of Long Beach Central,97,4416.03107062,1.67029,55.887,Low,66.86859948,,,,,32413,2.55,79877,926,1093,3526,407,5593,2383,5387,3713,23028,114,109,110,92,86,116,89,115,160,104,100,116,82,110,1742,1782,1955,1829,2077,2292,2085,2035,2011,2179,2184,2351,2099,1906,1478,934,610,863,25810,356,349,39.78303133,3.96527927,6.07280936,BlockApportionment:US.BlockGroups,1,115,US,9419,22994,10787,4734,94,5622,272,58,1427,20.3714559,22.08681702,25.94329436,19.60941598,11.98593157,29.05932805,33.27985685,14.60525098,17.34489248,0.2900071,0.83916947,0.17894055,4.40255453,9,17,35,40,15.3,88827.1477442952,-192361543.987513
116,150,City of Pomona - Southside,City of Pomona - South,150,7101.52904114,1.418835,96.031,Moderate,53.3026476,,,,,72775,3.99,59019,7549,5925,9274,1163,8352,2616,6757,2329,43965,122,68,85,74,48,75,61,78,110,83,64,77,92,68,5670,5557,5335,5522,6726,6766,6427,4978,4050,4219,4005,3637,3183,2617,1774,1090,654,564,53006,1107,1207,62.10655024,5.09133619,9.06716022,BlockApportionment:US.BlockGroups,1,116,US,52981,19794,6512,3379,128,8540,106,128,1001,27.16454827,30.55032635,23.70594297,12.96736517,5.60906905,72.80109928,8.94812779,4.64307798,11.73479904,0.17588458,0.14565441,0.17588458,1.37547235,31,24,25,21,17.9,98569.8943500945,-309341367.662931
117,125,City of Palmdale - Westside,City of Palmdale - West,125,33244.54946204,4.9,283.7,Low,19.41086375,,,,,60396,3.34,84213,2544,3219,7826,861,10692,3721,6231,3648,38742,107,110,102,98,100,101,86,118,114,96,97,92,114,99,4241,4369,4560,4251,4232,5316,4507,3527,3333,3695,4005,4131,3564,2680,1729,1053,626,578,44607,820,812,42.33742085,5.24224085,9.07884632,BlockApportionment:US.BlockGroups,1,117,US,26087,34309,20077,7469,204,4345,103,158,1953,26.14245977,25.97357441,24.10755679,17.17828995,6.59977482,43.19325783,33.2422677,12.36671303,7.19418505,0.33777071,0.1705411,0.26160673,3.23365786,15,22,37,25,16.5,368586.224240762,-1448126816.98367
118,168,City of Glendale - Southside,City of Glendale - South,168,2876.78142825,0.277685,23.87,Very High,90.36559573,,,,,95537,2.63,50373,7105,3872,15786,723,10805,7913,16981,8146,71331,97,129,97,94,55,96,87,90,147,97,81,88,83,122,4377,4383,4590,4810,6046,7792,7637,7577,6526,6410,6414,6404,5987,5103,4083,2900,2178,2320,79389,988,1025,49.21819816,4.81830024,10.43027316,BlockApportionment:US.BlockGroups,1,118,US,24081,71456,48430,1327,96,17716,55,160,3672,16.90235197,24.58523923,28.18489172,18.3112302,12.0173336,25.20594115,50.6924019,1.38899065,18.54360091,0.10048463,0.05756932,0.16747438,3.84353706,15,23,26,35,18.2,51426.7374875479,-125312097.764814
119,069,City of Lancaster - Eastside,City of Lancaster - Eastside,69,18344.07337232,2.958572,198.319,Moderate,7.92552627,,,,,69576,3.55,48442,3933,4493,13226,990,9878,3868,3187,1522,41097,105,108,90,94,53,70,77,91,110,68,66,108,108,70,6100,5797,5328,5350,5903,7248,5568,4172,3621,3571,3622,3703,3324,2411,1705,988,645,520,49219,1117,1102,121.3495108,6.10575448,14.87885234,BlockApportionment:US.BlockGroups,1,119,US,33170,36406,17012,14343,247,2283,137,184,2200,29.25865241,30.09371047,21.53903645,13.56502242,5.54501552,47.67448545,24.4509601,20.6148672,3.2813039,0.35500747,0.19690698,0.26445901,3.16200989,21,35,33,11,17.3,259072.411326707,-799064639.830024
120,188,City of Long Beach South,City of Long Beach South,188,9858.83987774,2.3,433.1,High,89.3695509,,,,,189778,2.44,57622,16436,9243,18130,2353,28666,8799,29634,16827,130088,101,127,95,104,68,101,89,122,123,107,90,129,109,81,11981,11052,10215,10405,16036,19888,17655,14997,12631,12169,11759,10813,9301,7467,5688,3562,2020,2139,150406,2057,2225,66.59967072,3.50914032,7.92391912,BlockApportionment:US.BlockGroups,1,120,US,83161,106616,55723,20762,584,22210,822,488,6028,20.74634573,30.48878163,27.16647873,14.5332968,7.06562404,43.82014775,29.36220215,10.94015112,11.70314789,0.30772798,0.43313767,0.25714256,3.17634288,20,16,29,36,17.4,384171.997977298,-429449347.271732
