OBJECTID,STUD_AR_ID,STUD_AR_NM,STUD_AR_LBL,TOOLKIT_ID,Acres,AC_PER_1K,RepPrkAc,NEED_DESCP,PCT_Walk,aggregationMethod,HasData,ORIGINAL_OID,sourceCountry,populationtotals_totpop_cy,householdtotals_avghhsz_cy,householdincome_medhinc_cy,educationalattainment_nohs_cy,educationalattainment_somehs_cy,educationalattainment_hsgrad_cy,educationalattainment_ged_cy,educationalattainment_smcoll_cy,educationalattainment_asscdeg_c,educationalattainment_bachdeg_c,educationalattainment_graddeg_c,educationalattainment_educbasec,sports_mp33003a_b_i,sports_mp33004a_b_i,sports_mp33005a_b_i,sports_mp33012a_b_i,sports_mp33014a_b_i,sports_mp33015a_b_i,sports_mp33016a_b_i,sports_mp33020a_b_i,sports_mp33024a_b_i,sports_mp33025a_b_i,sports_mp33026a_b_i,sports_mp33028a_b_i,sports_mp33029a_b_i,sports_mp33030a_b_i,F5yearincrements_pop0_cy,F5yearincrements_pop5_cy,F5yearincrements_pop10_cy,F5yearincrements_pop15_cy,F5yearincrements_pop20_cy,F5yearincrements_pop25_cy,F5yearincrements_pop30_cy,F5yearincrements_pop35_cy,F5yearincrements_pop40_cy,F5yearincrements_pop45_cy,F5yearincrements_pop50_cy,F5yearincrements_pop55_cy,F5yearincrements_pop60_cy,F5yearincrements_pop65_cy,F5yearincrements_pop70_cy,F5yearincrements_pop75_cy,F5yearincrements_pop80_cy,F5yearincrements_pop85_cy,F5yearincrements_pop18up_cy,F1yearincrements_age18_cy,F1yearincrements_age19_cy,MEAN_Asthma,MEAN_Low_Birth_Weight,MEAN_Cardiovascular,aggregationMethod_1,HasData_1,ORIGINAL_OID_1,sourceCountry_1,raceandhispanicorigin_hisppop_c,raceandhispanicorigin_nonhisp_c,raceandhispanicorigin_nhspwht_c,raceandhispanicorigin_nhspblk_c,raceandhispanicorigin_nhspai_cy,raceandhispanicorigin_nhspasn_c,raceandhispanicorigin_nhsppi_cy,raceandhispanicorigin_nhspoth_c,raceandhispanicorigin_nhspmlt_c,Age0_17Pct,Age18_34Pct,Age35_54Pct,Age55_69Pct,Age70upPct,HispanicPct,WhitePct,Black_Pct,Asian_Pct,Am_Indian,Pac_Island,Other_Race,Multi_Race,No_HS,HS_Grad,Some_College,College,unemprt_cy,SHAPE_Length,SHAPE_Area
121,123,City of Long Beach North,City of Long Beach North,123,4648.33999972,0.914829,85.821,High,63.59489446,,,,,92204,3.64,55281,8083,6300,13184,1560,13858,4251,6101,2148,55485,119,81,77,83,35,72,52,81,139,94,63,67,95,71,7433,7391,7137,6989,7767,8677,7542,6344,5418,5367,5311,4651,4094,3178,2162,1381,740,623,66074,1422,1398,78.50591301,6.94995828,9.73275218,BlockApportionment:US.BlockGroups,1,121,US,52937,39266,7354,16799,207,10564,2164,181,1998,28.33933452,29.07249143,24.33733894,12.93110928,5.32081038,57.4129105,7.97579281,18.21938311,11.45720359,0.22450219,2.34696976,0.19630385,2.16693419,26,27,33,15,20.3,69243.4254095583,-202480880.461777
122,154,City of Long Beach West,City of Long Beach West,154,4330.31035617,1.626048,130.344,Very High,61.19611138,,,,,80548,3.48,57594,9231,4448,10549,1027,11869,3672,7551,2704,51051,113,103,86,89,47,76,64,93,136,98,70,85,93,77,5937,5806,5630,5570,6555,7736,6322,5387,4696,4769,4618,4439,3886,3177,2275,1644,1055,1046,59870,1129,1135,69.68246298,5.02161577,8.81066203,BlockApportionment:US.BlockGroups,1,122,US,39070,41479,7115,11570,190,19066,1278,151,2109,25.6716492,28.40169837,24.17192233,14.27968416,7.47380444,48.50523911,8.83324229,14.36410587,23.67035805,0.23588419,1.58663157,0.18746586,2.61831455,27,23,30,20,17.8,111726.440631105,-188627564.602027
123,174,City of Torrance - North,City of Torrance - North,174,6085.51082222,2.546888,169.391,High,64.34939898,,,,,65897,2.66,86864,1420,1728,7592,666,9140,3966,16197,7414,48123,100,111,108,81,82,130,97,131,121,92,103,138,82,120,3030,3195,3542,3702,4305,5219,4310,4262,4102,4481,4726,5099,4519,3433,2637,1955,1490,1887,53810,707,675,32.60699218,3.9535459,5.55518652,BlockApportionment:US.BlockGroups,1,123,US,12799,53098,20557,2047,141,26743,238,262,3110,18.34226141,23.09058075,26.6643398,19.80515046,12.09311501,19.42273548,31.19565382,3.10636296,40.58303109,0.21397029,0.3611697,0.39759018,4.71948647,7,17,27,49,15.4,75392.8455669414,-265083791.077476
124,070,Unincorporated East Los Angeles - Northwest,Unincorporated East Los Angeles - Northwest,70,2848.72327812,1.011493,69.791,Very High,44.64647469,,,,,69632,4.27,46516,12570,6630,8188,742,6479,1692,2845,943,40089,129,35,73,71,20,40,59,38,107,97,36,85,93,44,6178,6053,5657,5510,6145,6787,5478,4832,4112,4041,3599,2982,2427,2051,1465,1014,643,658,48493,1101,1158,49.33621543,5.75181728,9.27280398,BlockApportionment:US.BlockGroups,1,124,US,67718,1914,732,206,74,712,2,77,111,30.35816866,29.68319164,23.81663603,10.71346507,5.4285386,97.25126379,1.05124081,0.29584099,1.02251838,0.10627298,0.00287224,0.11058134,0.15940947,48,22,20,9,19.8,59680.0159773225,-124089889.63383
125,030,Unincorporated East Los Angeles - Southeast,Unincorporated East Los Angeles - Southeast,30,1913.67400514,0.117602,6.786,Very High,33.71170881,,,,,57833,3.95,46580,10361,5012,8612,698,5177,1741,2458,701,34760,128,39,74,73,24,46,58,46,110,96,40,80,93,48,4702,4606,4522,4409,4834,5268,4604,4080,3654,3403,3105,2610,2405,1926,1394,961,672,678,41379,871,914,59.53112283,5.80078871,11.49622942,BlockApportionment:US.BlockGroups,1,125,US,56281,1551,879,85,81,353,11,64,78,28.45088444,28.51486176,24.62607854,12.00179828,6.40637698,97.31641105,1.51989349,0.14697491,0.61037816,0.14005844,0.01902028,0.11066346,0.13487109,44,27,20,9,20.2,49176.6329670974,-83359306.2256182
126,006,Unincorporated Leona Valley/ Unincorp Lake Hughes,Unincorporated Leona Valley - Lake Hughes,6,38945.72585848,0,0,Low,0,,,,,4369,2.58,87181,64,159,791,63,873,346,492,268,3056,94,106,120,92,114,120,123,119,101,92,114,107,101,109,187,203,262,410,251,244,253,206,265,303,352,391,362,272,200,101,63,45,3426,76,42,25.99013566,4.45668275,8.49118298,BlockApportionment:US.BlockGroups,1,126,US,899,3469,2904,215,16,168,2,8,157,21.58388647,19.82146944,25.77248798,23.46074617,9.36140993,20.57679103,66.46829938,4.92103456,3.84527352,0.36621653,0.04577707,0.18310826,3.59349966,7,28,40,25,13.5,293806.486798453,-1696469032.49884
127,019,Unincorporated Quartz Hill / Unincorporated Lancaster / Unincorporated Palmdale,Unincorporated Quartz Hill - Lancaster - Palmdale,19,9224.84007366,0.741362,13.667,Moderate,5.36599528,,,,,18870,2.9,80849,542,1068,2895,332,3522,1673,1841,1358,13231,109,104,105,87,91,103,90,106,107,72,94,103,99,96,1024,1077,1165,1144,1229,1649,1426,1098,917,1029,1217,1482,1401,1065,769,504,349,326,14904,227,217,44.09727559,5.28898554,9.35274949,BlockApportionment:US.BlockGroups,1,127,US,5728,13142,9949,1493,103,925,37,32,603,21.01748808,25.16163222,22.58081611,20.92209857,10.32326444,30.35506094,52.72390037,7.91202968,4.90196078,0.54583996,0.19607843,0.16958135,3.19554849,12,24,39,24,14.9,303341.09071146,-401832426.274271
128,018,Unincorporated Northwest Antelope Valley,Unincorporated Northwest Antelope Valley,18,197856.78114061,0,0,Low,0.50698416,,,,,4723,2.71,78934,177,274,1027,104,1008,264,408,269,3531,74,84,113,89,118,120,126,88,77,103,113,101,105,117,194,222,256,261,259,272,301,231,212,301,353,474,458,360,256,144,96,71,3898,53,55,36.8780339,3.04455423,8.14159907,BlockApportionment:US.BlockGroups,1,128,US,1278,3445,2940,195,30,136,3,14,128,17.4677112,19.90260428,23.22676265,27.35549439,12.00508152,27.05907262,62.24857082,4.12873174,2.87952573,0.6351895,0.06351895,0.29642177,2.71014186,13,32,36,19,13.7,793724.315090418,-8618606911.95407
129,035,Unincorporated Lake Los Angeles\ Unincorp Pearblossom\ Unincorp Liano\ Unincorp Valyermo,Unincorporated Lake Los Angeles - Pearblossom - Liano - Valyermo,35,175160.95866969,7.148299,115.781,Very Low,1.91314598,,,,,11834,3.22,50478,690,1329,1792,255,2041,612,806,334,7859,110,95,95,89,71,91,85,92,103,74,83,84,105,86,815,825,785,754,796,1151,819,627,577,604,699,763,844,670,476,328,176,125,8931,143,133,53.86326454,3.19613131,8.95979533,BlockApportionment:US.BlockGroups,1,129,US,5709,6125,4575,984,65,174,24,27,276,24.53101234,25.70559405,21.18472199,19.24116951,9.33750211,48.24235254,38.65979381,8.31502451,1.4703397,0.54926483,0.20280548,0.22815616,2.33226297,26,26,34,15,19.5,544174.714354051,-7629980839.63678
130,017,Unincorporated Northeast Antelope Valley ,Unincorporated Northeast Antelope Valley ,17,207680.22340161,11.826182,108.044,Very Low,2.0255283,,,,,8711,3.48,42221,648,529,1929,193,1142,386,362,171,5360,109,94,88,87,54,77,72,84,110,66,67,85,108,72,668,652,612,683,737,803,598,470,387,425,523,571,522,405,291,185,100,77,6387,133,158,96.85915907,4.25497317,12.53691954,BlockApportionment:US.BlockGroups,1,130,US,4783,3928,2775,723,41,132,20,20,218,26.67891172,27.88428424,20.72092756,17.19664792,7.49626909,54.90758811,31.85627368,8.29985076,1.51532545,0.47066927,0.22959477,0.22959477,2.50258294,22,40,29,10,15.1,633177.739930768,-9046514345.20815
131,037,Unincorporated San Pasqual/ Unincorporated East Pasadena,Unincorporated San Pasqual - East Pasadena,37,1012.61007177,0.816523,6.938,Very Low,28.48625225,,,,,8258,2.73,106393,402,130,819,48,935,467,1755,1478,6034,108,108,111,90,98,132,90,135,141,91,112,120,79,112,416,420,466,479,444,507,546,624,537,541,567,548,571,519,409,283,186,196,6658,90,91,25.05386455,5.49616437,5.61524154,BlockApportionment:US.BlockGroups,1,131,US,2625,5633,2876,196,19,2258,3,17,265,19.37515137,20.31969,27.47638653,19.83531121,13.00557036,31.78735771,34.82683458,2.37345604,27.34318237,0.23007992,0.03632841,0.20586098,3.20900945,9,14,23,54,11.6,56754.6784040655,-44109118.289369
132,011,Unincorporated Charter Oak Islands/ Unincorporated Covina/ Unincorporated Covina Islands,Unincorporated Charter Oak Islands - Covina - Covina Islands,11,1232.4217443,0.583436,11.821,High,16.45014532,,,,,19840,3.47,78851,900,1015,3564,417,3169,1314,2229,819,13427,124,100,84,87,60,102,50,111,144,72,86,58,90,87,1193,1261,1294,1274,1391,1779,1581,1380,1300,1238,1308,1287,1104,862,660,415,278,236,15337,257,262,45.00814885,4.93489761,7.86716714,BlockApportionment:US.BlockGroups,1,132,US,11994,7846,4525,574,71,2252,30,36,357,22.69657258,26.5625,26.34072581,16.39616935,8.00907258,60.45362903,22.80745968,2.89314516,11.35080645,0.3578629,0.15120968,0.18145161,1.79939516,14,30,33,23,17.3,127841.070175538,-53684076.4449696
133,033,Unincorporated El Monte/ Unincorporated Monrovia,Unincorporated El Monte - Monrovia,33,1065.18406005,0.246722,4.046,Low,55.84101877,,,,,16248,3.4,77731,1110,684,2619,219,2037,948,2625,925,11167,115,98,84,73,67,115,68,118,116,76,90,95,88,100,979,1059,1123,992,925,1130,1170,1076,1011,1112,1093,1047,997,834,681,449,277,290,12484,201,189,22.79148502,5.32827415,5.36132626,BlockApportionment:US.BlockGroups,1,133,US,7907,8340,3332,623,20,4021,8,27,309,23.16592811,22.24889217,26.41555884,17.71294929,10.44436238,48.66445101,20.50713934,3.83431807,24.74766125,0.12309207,0.04923683,0.1661743,1.90177253,16,25,27,32,15.7,67014.0443290319,-46399232.058491
134,004,Uninc Covina/ Uninc Pomona/ Uninc Charter Oak Islands/ Uninc West Covina/ Unincorporated San Dimas,Unincorporated Covina - Pomona - Charter Oak Islands - West Covina - San Dimas,4,2413.94997814,0,0,Low,14.48336569,,,,,5054,3.24,105195,94,115,434,38,673,292,738,363,2747,121,135,118,118,128,162,103,139,170,91,136,239,108,108,152,167,192,1055,741,246,288,212,175,178,248,280,271,232,185,145,106,182,4424,454,482,42.04058161,4.01058406,6.13464672,BlockApportionment:US.BlockGroups,1,134,US,1823,3230,1830,170,6,1009,6,11,198,12.46537396,43.74752671,16.0862683,15.49267907,12.22793827,36.07043926,36.20894341,3.36367234,19.96438465,0.11871785,0.11871785,0.21764939,3.91768896,8,17,35,40,19.7,119285.397499953,-105151240.441466
135,039,Unincorporated Valinda,Unincorporated Valinda,39,1305.53106028,4.232478,100.242,Moderate,17.23952416,,,,,23248,4.65,79570,2803,1336,4210,432,2945,1038,1794,479,15037,127,93,71,83,48,97,36,105,127,60,79,36,97,78,1570,1642,1630,1576,1794,2003,1975,1580,1401,1462,1376,1355,1180,978,715,451,297,264,17465,314,321,54.32873677,5.66543134,8.69197766,BlockApportionment:US.BlockGroups,1,135,US,17783,5464,1467,403,37,3299,35,37,187,24.87525809,27.55935994,25.03011012,15.11097729,7.42859601,76.49260151,6.31022023,1.73348245,14.190468,0.15915348,0.15055058,0.15915348,0.80437027,28,31,26,15,17.4,57095.8541580005,-56868705.5103075
136,050,Unincorporated Bassett-West Puente Valley,Unincorporated Bassett-West Puente Valley,50,1295.96828568,0.743906,17.975,Very High,40.18350656,,,,,24717,4.77,71739,2435,2453,4503,584,2932,867,1659,448,15881,127,93,73,86,49,94,38,99,131,65,76,39,100,75,1751,1808,1810,1736,1732,2094,2113,1730,1493,1490,1468,1329,1218,995,729,525,338,358,18300,339,349,53.40424442,4.59022916,9.30455991,BlockApportionment:US.BlockGroups,1,136,US,21190,3527,942,390,34,1975,22,16,146,25.96188858,26.81150625,25.00708015,14.33021807,7.88930695,85.73046891,3.81114213,1.57786139,7.99045192,0.13755715,0.08900757,0.06473278,0.59068657,31,32,24,13,17.9,72572.3036826169,-56452152.7149938
137,051,Unincorporated Pellissier Village-Avocado Heights-North Whittier,Unincorporated Pellissier Village-Avocado Heights-North Whittier,51,1829.64963069,1.379259,21.413,Very Low,45.18643096,,,,,15496,4.05,84952,1588,1095,2947,124,2045,704,1176,441,10120,126,94,84,78,66,103,53,106,121,68,87,49,90,86,1060,1116,1111,1105,985,1168,1250,1069,1007,991,961,899,729,673,527,355,273,218,11539,206,228,45.44674673,4.47145148,8.57153834,BlockApportionment:US.BlockGroups,1,137,US,12818,2678,1033,89,17,1413,8,26,93,25.5356221,24.7612287,25.99380485,14.84899329,8.86035106,82.71812081,6.66623645,0.57434177,9.11848219,0.10970573,0.05162623,0.16778523,0.60015488,27,30,27,16,18.5,85829.450244732,-79699219.1150852
138,052,Unincorporated Sunrise Village-South San Gabriel-Whittier Narrows,Unincorporated Sunrise Village-South San Gabriel-Whittier Narrows,52,2814.14208768,97.030459,1469.423,Low,18.78603363,,,,,8908,3.43,71253,1111,638,1446,51,1070,558,1288,423,6585,104,98,75,66,60,127,74,128,101,77,89,134,92,110,409,470,512,464,468,563,634,639,634,601,561,580,579,530,427,314,235,288,7231,88,91,49.18481502,4.49279866,8.26204925,BlockApportionment:US.BlockGroups,1,138,US,3637,5271,472,89,17,4568,1,3,122,18.82577458,20.70049394,27.33497979,18.96048496,14.18949259,40.82846879,5.29860799,0.99910193,51.27974854,0.19083969,0.01122586,0.03367759,1.36955546,27,23,25,26,15.1,108991.417685351,-122583527.001072
139,063,Unincorporated Marina del Rey,Unincorporated Marina del Rey,63,606.89058476,3.572707,26.756,Moderate,44.65188437,,,,,10449,1.64,115319,72,37,624,78,1335,492,4087,2360,9085,123,128,105,123,141,181,134,198,125,116,137,269,148,121,293,265,235,160,411,818,1202,1199,981,814,754,766,654,691,537,320,174,176,9565,29,39,29.52212185,4.19845942,6.31742504,BlockApportionment:US.BlockGroups,1,139,US,950,9499,7239,575,17,1151,13,27,478,8.46013973,23.91616423,35.86946119,20.20289023,11.55134463,9.09177912,69.27935688,5.50291894,11.01540817,0.16269499,0.12441382,0.25839793,4.57460044,1,8,20,71,13.2,75782.3444848333,-26436048.1276141
140,099,Unincorporated Avacado Heights/ Unincorporated Hacienda Heights/ Unincorporated Whittier,Unincorporated Avacado Heights - Hacienda Heights - Whittier,99,10971.17312518,12.4,740.763,Low,35.81321439,,,,,59163,3.33,91884,2546,2613,9592,492,8303,4160,10825,4787,43318,106,100,77,70,60,123,72,125,109,77,89,123,91,108,2739,2974,3119,3358,3654,4525,4474,3954,3380,3726,3843,3929,3836,3513,2954,2259,1503,1422,48337,686,679,50.35354244,3.86621735,10.22286956,BlockApportionment:US.BlockGroups,1,140,US,28306,30857,7646,638,68,21549,66,70,821,18.29859879,23.69386272,25.18973007,19.06258979,13.75521863,47.84409175,12.9236178,1.07837669,36.42310228,0.1149367,0.11155621,0.11831719,1.38769163,12,23,29,36,14.8,139091.720621995,-477902389.717653
141,134,Unincorporated South Whittier/ Unincorporated East La Mirada,Unincorporated South Whittier - East La Mirada,134,4119.62898845,1.570393,106.972,Moderate,44.60243461,,,,,68280,3.65,76245,4793,3586,13015,1203,11056,3608,5301,2128,44690,124,86,84,78,56,91,55,94,127,80,77,60,91,82,4543,4718,4746,4605,4978,5856,5819,4714,4257,4421,4235,4051,3539,2692,2041,1263,842,961,51545,955,923,57.81924095,4.69973289,11.84095219,BlockApportionment:US.BlockGroups,1,141,US,51366,16914,12193,725,150,2915,89,68,775,24.50937317,27.1397188,25.81575864,15.05858231,7.47949619,75.228471,17.85735208,1.06180434,4.26918571,0.21968366,0.13034564,0.09958992,1.13503222,19,32,33,17,15.7,99934.4691295959,-179450320.933261
142,092,Unincorporated La Habra Heights/ Unincorporated Rowland Heights,Unincorporated La Habra Heights - Rowland Heights,92,12371.08196895,12.2,639.413,Moderate,26.53394331,,,,,50924,3.38,76410,2733,2079,7787,638,5848,3343,11763,3915,38106,94,106,80,71,59,124,86,123,99,84,87,150,92,117,2243,2396,2553,2582,3042,3853,3977,3732,2919,3157,3315,3632,3557,3283,2725,1839,1114,1003,42191,531,512,26.15425497,3.76250048,6.501997,BlockApportionment:US.BlockGroups,1,142,US,13687,37237,4757,627,40,30860,63,32,858,17.14908491,23.39761213,25.76977457,20.56397769,13.1195507,26.87730736,9.34137146,1.23124656,60.60010997,0.07854843,0.12371377,0.06283874,1.68486372,13,22,24,41,15.3,219579.193504315,-538882175.032305
143,034,Unincorporated Hawthorne/ Unincorporated  Alondra Park,Unincorporated Hawthorne - Alondra Park,34,808.28335103,2.277704,25.877,Very High,62.27906267,,,,,11457,3.35,68460,1021,615,1299,321,1728,533,1405,395,7317,114,95,92,82,58,82,69,88,118,88,76,79,91,81,839,898,849,776,776,837,908,842,720,720,724,642,618,453,347,216,136,155,8391,138,160,74.75970814,6.96858628,9.74505857,BlockApportionment:US.BlockGroups,1,143,US,6342,5115,1833,973,20,1922,67,25,274,26.76093218,24.60504495,26.23723488,14.951558,7.45395828,55.35480492,15.99895261,8.4926246,16.77577027,0.17456577,0.58479532,0.21820721,2.39155102,22,22,31,25,17,34591.1484656267,-35208681.9356124
144,031,Unincorporated East Rancho Dominguez,Unincorporated East Rancho Dominguez,31,528.02718085,0.612241,9.783,Very High,75.55536721,,,,,15486,5.04,51013,2437,1376,2316,141,1384,410,323,45,8432,128,33,70,69,20,40,58,40,105,94,35,81,90,44,1560,1476,1362,1279,1378,1521,1288,995,902,776,725,671,561,386,272,177,100,58,10321,248,263,85.21031402,5.91226184,13.20431504,BlockApportionment:US.BlockGroups,1,144,US,12922,2564,148,2154,11,29,108,18,95,33.35270567,30.33707865,21.94239959,10.44814671,3.91966938,83.44310991,0.95570192,13.90933747,0.18726592,0.0710319,0.69740411,0.11623402,0.61345732,45,29,21,4,20.1,50562.0950971275,-23000771.9946477
145,048,Unincorporated Ladera Heights / View Park - Windsor Hills,Unincorporated Ladera Heights - View Park - Windsor Hills,48,3077.80427624,25.265275,416.492,Very Low,33.51803772,,,,,17672,2.41,104393,117,338,1299,45,3244,996,3923,3736,13698,101,119,104,90,122,138,112,117,106,77,118,125,68,124,637,723,945,912,756,862,949,984,855,1039,1280,1562,1537,1271,1142,836,665,716,14786,162,170,65.50849194,6.81795933,6.52360972,BlockApportionment:US.BlockGroups,1,145,US,1197,16475,1220,13738,32,450,5,73,958,16.33091897,16.40448167,23.52874604,24.72838388,19.00746944,6.77342689,6.90357628,77.73879584,2.54640109,0.18107741,0.02829335,0.41308284,5.42100498,3,10,31,56,17.4,81748.1517487109,-134068617.997056
146,023,Unincorporated West Carson/ Unincorporated Harbor City,Unincorporated West Carson - Harbor City,23,1643.27877005,0.387889,8.423,High,24.29128848,,,,,22777,2.89,77382,1470,984,3375,289,3318,1487,4781,1434,17138,102,104,100,79,88,126,88,123,123,84,103,132,80,118,1123,1141,1264,1027,1083,1298,1529,1576,1522,1514,1489,1621,1597,1390,1208,906,718,770,18639,218,199,46.3025598,5.07402861,7.66718032,BlockApportionment:US.BlockGroups,1,146,US,7643,15134,4201,2146,71,7620,291,81,724,18.16744962,18.99723405,26.78579269,20.23093471,15.81419853,33.55577995,18.44404443,9.42178513,33.4548009,0.31171796,1.2776046,0.3556219,3.17864512,14,21,28,36,15.3,67244.415141247,-71580936.8986815
147,124,City of Palmdale - Eastside / Unincorporated South Antelope Valley,City of Palmdale - East / Unic. South Antelope Valley,124,51233.13691641,2.4,238.2,Low,20.60291175,,,,,101056,3.82,53262,9192,9198,15129,1848,14582,4067,4496,1538,60050,116,101,77,89,49,76,57,92,120,69,69,70,105,71,8377,8258,7767,7700,8905,10537,7868,5777,5318,5764,5907,5704,4708,3504,2188,1324,762,686,71951,1516,1480,70.79600556,6.24897605,10.01421514,BlockApportionment:US.BlockGroups,1,147,US,66474,34582,15433,13462,253,2951,114,227,2143,28.80086289,29.98931286,22.52810323,13.77058265,4.90816973,65.77936985,15.27173053,13.32132679,2.92016308,0.25035624,0.11280874,0.22462793,2.1206064,31,28,31,10,18.3,293420.976372381,-2231706517.22618
148,132,City of Pasadena - Eastside / Unincorporated Kinneloa Mesa,City of Pasadena - East / Unic Kinneloa Mesa,132,6376.84658925,1.431107,85.158,Moderate,51.11760123,,,,,62241,2.56,86473,3219,1802,6223,583,6759,3221,12981,9798,44586,109,117,116,97,92,130,92,126,144,107,109,126,86,111,3429,3438,3632,3369,3787,4858,4660,4696,4382,4122,4174,4137,3696,3067,2374,1747,1168,1506,49736,714,648,29.00654872,3.88133489,5.68009433,BlockApportionment:US.BlockGroups,1,148,US,22694,39547,23297,4337,89,9353,62,197,2214,20.09125817,23.56485275,27.91407593,17.5125721,10.91724105,36.46149644,37.43031121,6.96807571,15.02707219,0.14299256,0.0996128,0.31651162,3.55714079,11,15,22,51,15,128177.941722541,-277774326.327194
149,045,City of LA Westwood / Unincorporated Sawtelle VA Center,City of LA Westwood / Unic Sawtelle VA Center,45,2935.45226656,0.663576,35.5,Very High,26.02263553,,,,,53988,2.08,82748,405,409,1577,134,3173,1314,9008,10974,26994,137,152,121,159,135,175,107,176,198,111,143,324,154,94,1211,1080,1056,8108,15539,4195,3427,2552,1882,1809,1793,1928,1927,1775,1700,1313,999,1694,49865,2806,4526,11.76471036,2.49955278,5.12022729,BlockApportionment:US.BlockGroups,1,149,US,5063,48925,29024,1352,40,15336,52,133,2989,7.63688227,56.48106987,14.88478921,10.42824331,10.56901534,9.37800993,53.76009484,2.50426021,28.40631251,0.07409054,0.0963177,0.24635104,5.5364155,3,6,17,74,16.8,61351.5375461557,-127867789.258606
150,084,City of LA Sherman Oaks - Studio City - Toluca Lake - Cahuenga Pass / Unic Universal City,City of LA Sherman Oaks - Studio City - Toluca Lake - Cahuenga Pass / Unic. Universal City,84,9084.35220552,0.807402,65.209,Low,36.37737795,,,,,81997,2.03,105770,566,1060,5325,380,10978,3674,26274,15440,63697,101,120,110,102,110,168,110,162,111,101,131,168,98,113,3618,3468,3715,3187,4312,6943,7177,7304,6327,5966,6006,5754,4978,4205,3455,2186,1519,1875,69248,619,619,20.72053467,4.46488387,6.13353901,BlockApportionment:US.BlockGroups,1,150,US,9446,72551,58622,3573,118,6661,68,239,3270,15.54812981,23.98868251,31.22431308,18.21652012,11.01869581,11.51993366,71.49285949,4.35747649,8.12346793,0.1439077,0.08292986,0.29147408,3.98795078,3,9,23,65,17.7,125631.81562079,-395712799.216715
151,026,City of LA Bel Air - Beverly Crest/ Unincorporated Hollywood Hills,City of LA Bel Air - Beverly Crest / Unic. Hollywood Hills,26,9796.28346507,0.569377,11.773,Very Low,18.97540141,,,,,21335,2.51,200001,179,245,1099,69,1671,343,5935,6061,15602,78,77,121,71,159,160,112,166,107,73,152,193,73,148,974,1291,1547,1236,685,539,913,1231,1218,1434,1553,1656,1601,1445,1485,1014,746,766,16723,227,209,11.83954409,4.35983299,4.51720295,BlockApportionment:US.BlockGroups,1,151,US,1191,20144,17015,352,13,1725,7,84,948,21.61706117,12.05999531,25.47925943,22.03890321,18.80009374,5.58237638,79.75158191,1.6498711,8.08530584,0.06093274,0.03280994,0.39371924,4.44340286,3,7,13,77,14.1,124239.614614969,-426724400.835933
152,144,City of Glendora / Unincorporated Glendora,City of Glendora / Unic. Glendora,144,12919.68539294,1.750393,91.311,Low,43,,,,,53158,2.87,93881,1355,2082,6448,853,8690,4178,8554,5656,37816,114,106,116,84,106,123,96,119,134,89,109,106,80,116,2480,2730,3035,3554,3545,3637,3657,3107,2977,3325,3864,4003,3663,2975,2410,1701,1229,1267,42875,783,733,37.8781011,3.90741176,7.19250547,BlockApportionment:US.BlockGroups,1,152,US,17829,35329,27841,878,105,4800,45,111,1549,19.34421912,23.24203318,24.96896046,20.01768313,12.42898529,33.53963656,52.3740547,1.6516799,9.02968509,0.19752436,0.0846533,0.20881147,2.91395463,9,19,34,38,16.1,128742.014809073,-562779244.592815
153,171,City of Claremont / Unincorporated Claremont,City of Claremont / Unic. Claremont,171,9343.03491568,3.371267,125.074,Low,71.2942442,,,,,37494,2.59,107668,703,772,2429,358,4374,1837,6264,7946,24683,110,118,112,112,123,139,103,128,150,93,127,165,97,119,1313,1501,1684,3764,4549,2207,2087,1947,1706,1926,2093,2478,2356,2139,1883,1443,1034,1383,31683,928,1523,33.60484522,4.55967463,7.72755581,BlockApportionment:US.BlockGroups,1,153,US,8341,29153,20222,1719,88,5453,44,70,1558,15.49847976,30.12215288,20.46194058,18.59764229,15.31711741,22.24622606,53.93396277,4.58473356,14.54366032,0.23470422,0.11735211,0.18669654,4.15533152,6,11,25,58,13.5,108101.561389808,-406980972.998182
154,159,City of La Verne / Unincorporated La Verne/ Unincorporated Claremont,City of La Verne / Unic. La Verne - Claremont,159,8289.95476,2.7,92,Very Low,58.02528834,,,,,34557,2.74,93717,623,1145,3953,406,6511,2590,6120,4062,25410,102,96,115,97,110,118,107,120,132,83,114,117,87,122,1443,1568,1773,2237,2127,2341,2383,1981,1780,1890,2309,2721,2609,2204,1873,1272,922,1125,28461,485,439,33.30413698,4.36068479,7.42876816,BlockApportionment:US.BlockGroups,1,154,US,11677,22879,17612,1110,116,2959,58,60,964,17.64042018,22.49905952,23.03440692,21.80166102,15.02445235,33.79054895,50.9650722,3.21208438,8.56266458,0.33567729,0.16783864,0.17362618,2.789594,7,17,36,40,15,119618.62240121,-361108984.905318
